epoch,accuracy,iou_macro_coef,loss,val_accuracy,val_iou_macro_coef,val_loss
0,0.6066280603408813,0.07067110389471054,1.5028122663497925,0.6964689493179321,0.114320769906044,1.1244633197784424
1,0.7218294143676758,0.11465880274772644,0.9968507885932922,0.7605162262916565,0.14102904498577118,0.851600706577301
2,0.7590757012367249,0.13297539949417114,0.8576112389564514,0.7725615501403809,0.14610712230205536,0.8335016965866089
3,0.7769531607627869,0.14544813334941864,0.7852377891540527,0.7848361730575562,0.1566167026758194,0.7617745995521545
4,0.7878290414810181,0.15142621099948883,0.7450860738754272,0.7880322933197021,0.16858462989330292,0.7400763034820557
5,0.7970893979072571,0.1580657660961151,0.7055176496505737,0.8014695644378662,0.17394289374351501,0.6874969601631165
6,0.8066102862358093,0.16342641413211823,0.6739236116409302,0.8078815340995789,0.17933064699172974,0.6747885346412659
7,0.8120085597038269,0.16642805933952332,0.6533166170120239,0.8125033378601074,0.18472996354103088,0.641934871673584
8,0.8144050240516663,0.17169079184532166,0.642092227935791,0.8273110389709473,0.18991230428218842,0.6008899211883545
9,0.819540798664093,0.1767648309469223,0.6199049949645996,0.8302088379859924,0.1936468482017517,0.5773190259933472
10,0.8239579796791077,0.1783715933561325,0.6060653924942017,0.8303262591362,0.19073954224586487,0.5760844349861145
11,0.8271676898002625,0.17969976365566254,0.5935518145561218,0.8303854465484619,0.19951489567756653,0.5842322111129761
12,0.8267540335655212,0.18230357766151428,0.5890775322914124,0.8341448307037354,0.20042914152145386,0.5723260641098022
13,0.832496166229248,0.18468798696994781,0.5725833177566528,0.8326711058616638,0.19547615945339203,0.566903829574585
14,0.8323547840118408,0.1883225291967392,0.5713088512420654,0.8236612677574158,0.19544631242752075,0.5881572365760803
15,0.8371187448501587,0.1891271322965622,0.5532029867172241,0.8290970921516418,0.1951701045036316,0.5878605246543884
16,0.8363597393035889,0.189061239361763,0.5557825565338135,0.8355759978294373,0.20259201526641846,0.578334629535675
17,0.8389135003089905,0.19209690392017365,0.5442513227462769,0.8384174704551697,0.20338600873947144,0.5670732855796814
18,0.8419752717018127,0.19286856055259705,0.5352334976196289,0.8448789715766907,0.20962926745414734,0.5220258235931396
19,0.8401968479156494,0.19198180735111237,0.5405352711677551,0.8445334434509277,0.2135259062051773,0.5167347192764282
20,0.8437457084655762,0.19547982513904572,0.5305456519126892,0.8468928933143616,0.21545061469078064,0.5205181241035461
21,0.8434119820594788,0.19573666155338287,0.5291411280632019,0.8442868590354919,0.2139752060174942,0.5186044573783875
22,0.8444728851318359,0.1969951093196869,0.5232067704200745,0.8424418568611145,0.21230585873126984,0.5303072929382324
23,0.841001033782959,0.19712838530540466,0.5349701642990112,0.8417952656745911,0.21236787736415863,0.548058032989502
24,0.8456040620803833,0.20008176565170288,0.5163699388504028,0.8494390845298767,0.21525892615318298,0.5111455321311951
25,0.8501331806182861,0.20112662017345428,0.5037264227867126,0.851203978061676,0.22039592266082764,0.497894287109375
26,0.8489218354225159,0.20058369636535645,0.5058763027191162,0.8330082893371582,0.20330022275447845,0.7240066528320312
27,0.8512629866600037,0.20180681347846985,0.49768778681755066,0.8499815464019775,0.2186635583639145,0.4951779842376709
28,0.8491774201393127,0.20405976474285126,0.5031173825263977,0.8476014137268066,0.21455350518226624,0.4996301233768463
29,0.8500706553459167,0.2021656632423401,0.5009245276451111,0.8461779356002808,0.21947835385799408,0.5170096755027771
30,0.8506236672401428,0.20482206344604492,0.49860072135925293,0.8482084274291992,0.2176876813173294,0.5139450430870056
31,0.8557273745536804,0.20707377791404724,0.4827239215373993,0.8509824275970459,0.22457094490528107,0.4961574077606201
32,0.8546916842460632,0.2063131034374237,0.48617038130760193,0.8527352213859558,0.22023166716098785,0.5008779168128967
33,0.853495180606842,0.20437468588352203,0.49005356431007385,0.8561610579490662,0.22713056206703186,0.48377469182014465
34,0.8559361696243286,0.2088562250137329,0.48284295201301575,0.8552079200744629,0.2260219305753708,0.47974681854248047
35,0.8564240336418152,0.207315593957901,0.4777562618255615,0.8572247624397278,0.22882378101348877,0.46530506014823914
